,location,total_sqft,bath,price,bhk
0,Electronic City Phase II,1056.0,2.0,39.07,2
1,Chikka Tirupathi,2600.0,5.0,120.0,4
2,Uttarahalli,1440.0,2.0,62.0,3
3,Lingadheeranahalli,1521.0,3.0,95.0,3
4,Kothanur,1200.0,2.0,51.0,2
5,Whitefield,1170.0,2.0,38.0,2
6,Old Airport Road,2732.0,4.0,204.0,4
7,Marathahalli,1310.0,3.0,63.25,3
8,Whitefield,1800.0,2.0,70.0,3
9,7th Phase JP Nagar,1000.0,2.0,38.0,2
10,Gottigere,1100.0,2.0,40.0,2
11,Sarjapur,2250.0,3.0,148.0,3
12,Mysore Road,1175.0,2.0,73.5,2
13,Bisuvanahalli,1180.0,3.0,48.0,3
14,Raja Rajeshwari Nagar,1540.0,3.0,60.0,3
15,other,1100.0,2.0,48.0,2
16,Binny Pete,1755.0,3.0,122.0,3
17,Bellandur,1767.0,3.0,103.0,3
18,Thanisandra,510.0,1.0,25.25,1
19,other,1250.0,3.0,56.0,3
20,Electronic City,660.0,1.0,23.1,2
21,Whitefield,1610.0,3.0,81.0,3
22,Ramagondanahalli,1151.0,2.0,48.77,2
23,Electronic City,1025.0,2.0,47.0,3
24,Yelahanka,3525.0,4.0,186.0,4
25,Bisuvanahalli,1075.0,2.0,35.0,3
26,Hebbal,1760.0,2.0,123.0,3
27,Raja Rajeshwari Nagar,1693.0,3.0,57.39,3
28,Kasturi Nagar,1925.0,3.0,125.0,3
29,Kanakpura Road,700.0,2.0,36.0,2
30,Electronics City Phase 1,1070.0,2.0,45.5,2
31,Kundalahalli,1724.0,3.0,125.0,3
32,Chikkalasandra,1290.0,2.0,56.12,3
33,Uttarahalli,1143.0,2.0,45.0,2
34,Murugeshpalya,1296.0,2.0,81.0,2
35,Sarjapur  Road,1254.0,3.0,38.0,3
36,other,600.0,1.0,38.0,1
37,Yelahanka,660.0,1.0,48.0,1
38,Kanakpura Road,1330.74,2.0,91.79,2
39,Doddathoguru,970.0,2.0,33.0,2
40,Whitefield,1459.0,2.0,94.82,2
41,other,869.0,2.0,36.0,2
42,other,1270.0,2.0,50.0,2
43,Bhoganhalli,1670.0,3.0,99.0,3
44,Whitefield,2010.0,3.0,91.0,3
45,Lakshminarayana Pura,1185.0,2.0,75.0,2
46,Yelahanka,1600.0,2.0,75.0,3
47,Begur Road,1200.0,2.0,44.0,2
48,Devanahalli,4715.0,2.0,192.0,4
49,other,840.0,2.0,45.0,2
50,other,4395.0,3.0,240.0,3
51,other,845.0,2.0,55.0,2
52,Varthur,1160.0,2.0,44.0,2
53,Doddathoguru,1100.0,2.0,62.0,2
54,Gunjur,1140.0,2.0,43.0,2
55,Marathahalli,1220.0,2.0,57.0,2
56,Kanakpura Road,1005.0,2.0,36.68,2
57,Begur Road,1358.0,2.0,80.58,2
58,Hegde Nagar,1569.0,3.0,101.0,3
59,Haralur Road,1240.0,2.0,70.0,2
60,Hennur Road,2089.0,3.0,140.0,3
61,Kothannur,1206.0,2.0,48.23,2
